,Date,Power Gen MW,,
244,05/06/2013,0,,
245,06/06/2013,0,,
246,07/06/2013,0,,
247,08/06/2013,0,,
248,09/06/2013,0,,
249,10/06/2013,0,,
250,11/06/2013,0,,
251,12/06/2013,0,,
252,13/06/2013,0,,
253,14/06/2013,0,,
254,15/06/2013,0,,
255,16/06/2013,0,,
256,17/06/2013,0,,
257,18/06/2013,0,,
258,19/06/2013,0,,
259,20/06/2013,0,,
260,21/06/2013,0,,
261,22/06/2013,0,,
262,23/06/2013,0,,
263,24/06/2013,0,,
264,25/06/2013,0,,
265,26/06/2013,0,,
266,27/06/2013,0,,
267,28/06/2013,0,,
268,29/06/2013,0,,
269,30/06/2013,0,,
270,01/07/2013,0,,
271,02/07/2013,0,,
272,03/07/2013,0,,
273,04/07/2013,0,,
274,05/07/2013,0,,
275,06/07/2013,0,,
276,07/07/2013,0,,
277,08/07/2013,0,,
278,09/07/2013,0,,
279,10/07/2013,0,,
280,11/07/2013,0,,
281,12/07/2013,0,,
282,13/07/2013,0,,
283,14/07/2013,0,,
284,15/07/2013,0,,
285,16/07/2013,0,,
286,17/07/2013,0,,
287,18/07/2013,0,,
288,19/07/2013,0,,
289,20/07/2013,0,,
290,21/07/2013,0,,
291,22/07/2013,0,,
292,23/07/2013,0,,
293,24/07/2013,0,,
294,25/07/2013,0,,
295,26/07/2013,0,,
296,27/07/2013,0,,
297,28/07/2013,0,,
298,29/07/2013,0,,
299,30/07/2013,0,,
300,31/07/2013,0,,
301,01/08/2013,0,,
302,02/08/2013,0,,
303,03/08/2013,0,,
304,04/08/2013,0,,
305,05/08/2013,0,,
306,06/08/2013,0,,
307,07/08/2013,0,,
308,08/08/2013,0,,
309,09/08/2013,0,,
310,10/08/2013,0,,
311,11/08/2013,0,,
312,12/08/2013,0,,
313,13/08/2013,0,,
314,14/08/2013,0,,
315,15/08/2013,0,,
316,16/08/2013,0,,
317,17/08/2013,0,,
318,18/08/2013,0,,
319,19/08/2013,0,,
320,20/08/2013,0,,
321,21/08/2013,0,,
322,22/08/2013,0,,
323,23/08/2013,0,,
324,24/08/2013,0,,
325,25/08/2013,0,,
326,26/08/2013,0,,
327,27/08/2013,0,,
328,28/08/2013,0,,
329,29/08/2013,0,,
330,30/08/2013,0,,
331,31/08/2013,0,,
332,01/09/2013,0,,
333,02/09/2013,0,,
334,03/09/2013,0,,
335,04/09/2013,0,,
336,05/09/2013,0,,
337,06/09/2013,0,,
338,07/09/2013,0,,
339,08/09/2013,0,,
340,09/09/2013,0,,
341,10/09/2013,0,,
342,11/09/2013,0,,
343,12/09/2013,0,,
344,13/09/2013,0,,
345,14/09/2013,0,,
346,15/09/2013,0,,
347,16/09/2013,0,,
348,17/09/2013,0,,
349,18/09/2013,0,,
350,19/09/2013,0,,
351,20/09/2013,0,,
352,21/09/2013,0,,
353,22/09/2013,0,,
354,23/09/2013,0,,
355,24/09/2013,0,,
356,25/09/2013,0,,
357,26/09/2013,0,,
358,27/09/2013,0,,
359,28/09/2013,0,,
360,29/09/2013,0,,
361,30/09/2013,0,,
362,01/10/2013,0,,
363,02/10/2013,0,,
364,03/10/2013,0,,
365,04/10/2013,0,,
366,05/10/2013,0,,
367,06/10/2013,0,,
368,07/10/2013,0,,
369,08/10/2013,0,,
370,09/10/2013,0,,
371,10/10/2013,0,,
372,11/10/2013,0,,
373,12/10/2013,0,,
374,13/10/2013,0,,
375,14/10/2013,0,,
376,15/10/2013,0,,
377,16/10/2013,0,,
378,17/10/2013,0,,
379,18/10/2013,0,,
380,19/10/2013,0,,
381,20/10/2013,0,,
382,21/10/2013,0,,
383,22/10/2013,0,,
384,23/10/2013,0,,
385,24/10/2013,0,,
386,25/10/2013,0,,
387,26/10/2013,0,,
388,27/10/2013,0,,
389,28/10/2013,0,,
390,29/10/2013,2075.846,,
391,30/10/2013,1616.2865,,
392,31/10/2013,1845.132,,
393,01/11/2013,1127.7455,,
394,02/11/2013,1602.9,,
395,03/11/2013,1410.55,,
396,04/11/2013,948.3585,,
397,05/11/2013,1279.656,,
398,06/11/2013,0,,
